name,highway,length_m,importance
,tertiary,23640.91693534554,5
Gazi Caddesi,primary,764.2953733600593,3
Elazığ-Keban yolu,trunk,9878.651679821669,2
Elazığ-Bingöl yolu,trunk,4711.188865917091,2
Elazığ-Tunceli yolu,trunk,3885.4645586609627,2
Elazığ-Bingöl yolu,trunk,7840.451584660536,2
Elazığ-Bingöl yolu,trunk,1994.3636939650382,2
Malatya-Elazığ yolu,trunk,6677.1235461544,2
Malatya-Elazığ yolu,trunk,5612.132929310887,2
Elazığ-Keban yolu,trunk,3604.6271467078373,2
Keban Köprüsü,primary,316.2357255798937,3
,secondary,658.3123821962523,4
Elazığ-Bingöl yolu,trunk,626.4516145713843,2
Elazığ-Bingöl yolu,trunk,623.0430863306516,2
Atatürk Bulvarı,primary,3761.060448078508,3
Cahit Dalokay Bulvarı,primary,2882.282259616875,3
Elazığ-Keban yolu,trunk,2724.5389764172596,2
,tertiary,359.2390267546628,5
,residential,626.4737434341878,6
,tertiary,257.492987060335,5
Ahmet Kabaklı Bulvarı,secondary,5292.8778159593285,4
,residential,291.1855941552732,6
Yahya Kemal Caddesi,primary,696.3015416753943,3
,primary,104.21745099907707,3
Yahya Kemal Caddesi,primary,694.5532395346781,3
,secondary,93.90361632017655,4
,secondary,735.7879158339673,4
,tertiary,83.64501310489672,5
,residential,94.9565827204529,6
,residential,107.71644669934271,6
,secondary,273.4117332769123,4
Elazığ-Keban yolu,trunk,1787.5504481231267,2
Elazığ-Diyarbakır yolu,trunk,11308.063383776665,2
Elazığ-Diyarbakır yolu,trunk,11308.063383776665,2
,primary,144.12420617633273,3
İnönü Caddesi,secondary,1021.5951873099476,4
,residential,114.2134843905049,6
Malatya-Elazığ yolu,primary,82.7319319047088,3
Kömürhan Köprüsü Eski,primary,393.5971535149584,3
Elazığ-Bingöl yolu,trunk,4873.228605913872,2
Elazığ-Bingöl yolu,trunk,467.1879076139466,2
Elazığ Caddesi,primary,30.65663942771013,3
,residential,262.0751085385432,6
,residential,169.97152388227335,6
Fatih Sultan Mehmet Caddesi,primary,1728.4157780532087,3
,residential,343.08528935102373,6
,residential,313.8394985220917,6
Keban-Arapgir yolu;Malatya-Keban yolu,primary,284.3105123610094,3
Malatya-Keban yolu,primary,215.71814327047417,3
,secondary,2086.9296150761666,4
,tertiary,97.96049943118203,5
,secondary,2069.166412181338,4
,residential,462.8168307248264,6
,residential,1373.3121569427756,6
,tertiary,5326.878012573454,5
,secondary,32.77107700793282,4
,residential,375.5045803552505,6
,secondary,282.5683829208659,4
,tertiary,205.50185733002098,5
,residential,729.3748011121645,6
,secondary,12424.605503658751,4
,secondary,2756.3242437436816,4
,residential,294.38973937330564,6
,tertiary,792.640405237598,5
,tertiary,307.1912920876584,5
,tertiary,1739.4517553679611,5
,tertiary,3525.2301912532585,5
,tertiary,3898.8303909348383,5
,tertiary,133.7522124735956,5
,secondary,40.77696819827996,4
,residential,1701.4607111302448,6
